线路号: 56012
线路总服务人次: 3736
驾驶员总数: 24
========================================
驾驶员编号            服务人次
----------------------------------------
9000418           325
9016559           319
9017305           302
9018155           296
9016539           279
9016663           258
9016505           248
9016604           239
9016629           180
9017309           169
9016579           155
9016694           143
9016619           115
9018156           112
9016620           112
9016562           109
9000426           101
9016673            88
9003280            72
9016592            68
9016571            20
9016690            15
9016654             9
9016688             2
