线路号: 1101
线路总服务人次: 3782
驾驶员总数: 61
========================================
驾驶员编号            服务人次
----------------------------------------
2374              218
143               147
2292              143
19                141
1594              129
1316              122
182               119
1873              109
131               108
1809              107
202               103
147               100
1997               97
1122               93
2362               89
1622               88
2532               84
1599               83
1995               82
2534               82
184                80
2240               76
1130               75
102                73
1317               73
149                70
108                69
1601               66
1136               62
208                58
185                56
2287               56
41                 54
1609               52
192                50
27                 40
1996               38
2359               34
171                33
1659               31
2150               30
1866               27
1885               25
1319               25
1127               25
206                24
1593               24
127                23
1600               22
1827               22
1661               20
2149               19
2295               19
167                17
1608               17
146                15
1999               14
199                 9
2293                7
168                 6
100                 2
