线路号: 425
线路总服务人次: 3034
驾驶员总数: 39
========================================
驾驶员编号            服务人次
----------------------------------------
9003111           192
9011176           188
9017562           169
9003171           166
9003148           130
9003184           129
9003114           122
9017592           107
9011077           107
9003229           104
9003132           101
9011175            97
9003174            86
9017873            84
9017854            83
9003107            79
9003143            76
9003151            74
9017388            73
9016232            71
9003175            69
9003223            69
9016990            68
9013361            67
9003246            60
9017586            60
9003179            58
9003115            50
9018176            45
9018178            43
9003186            36
9018179            36
9003098            34
9003226            33
9017567            28
9003136            20
9011076            15
9003215             3
9003104             2
