线路号: 5
线路总服务人次: 4190
驾驶员总数: 57
========================================
驾驶员编号            服务人次
----------------------------------------
9017904           262
9017638           257
9013422           245
9013379           156
9013659           154
9013710           144
9013581           143
9013548           136
9017640           129
9013553           125
9013627           124
9013592           119
9013605           110
9013589           109
9013547           100
9013530            94
9013574            91
9013596            89
9013576            87
9013550            80
9017903            78
9017792            77
9013588            74
9013620            72
9017793            71
9013607            70
9017906            67
9013540            65
9013584            63
9013535            53
9013612            52
9013602            52
9017013            49
9017639            49
9013543            49
9013561            48
9013533            46
9013579            43
9013611            41
9013604            40
9013563            36
9017233            34
9013590            34
9013560            32
9013554            29
9013621            25
9013571            15
9017637            13
9013536            12
9013572            11
90936290           10
9013559             9
9013538             5
9017236             4
9013575             4
90923244            3
9013567             1
