线路号: 21
线路总服务人次: 2363
驾驶员总数: 38
========================================
驾驶员编号            服务人次
----------------------------------------
9000500           171
9000411           153
9017432           136
9011804           119
9011822           114
9011847           103
9011846            97
9017894            93
9017411            91
9011770            85
9000444            83
9017816            74
9011823            74
9000543            73
9017815            72
9000404            64
9011785            60
9017895            56
9011851            56
9011927            54
9011793            53
9011873            51
9011910            50
9011784            48
9011842            47
9011896            46
9011856            45
9011900            42
9011915            37
9011855            37
9011881            25
9011802            22
90902254           13
9000374             9
9011876             6
9000463             2
9000423             1
9011868             1
