线路号: 88
线路总服务人次: 4350
驾驶员总数: 55
========================================
驾驶员编号            服务人次
----------------------------------------
9014488           205
9003926           180
9003927           179
9014500           162
9014468           145
9003884           145
9014492           139
9003920           138
9014481           129
9014515           125
9017279           124
9003883           114
9003839           104
9004751           103
9014465            99
9003857            99
9003905            95
9014452            95
9003934            93
9017460            92
9003862            91
9014514            91
9003871            89
9003939            87
9014477            85
9014508            84
9003917            81
9017274            79
9003850            78
90819218           75
9014502            75
9014487            74
9003908            68
9017278            65
9000442            53
9003938            49
9003910            47
9003885            43
9003892            42
9003898            40
9003868            40
9003903            40
9016528            39
9003929            39
9003907            34
9018055            33
9003889            33
9003932            28
9017267            25
9003924            21
9014486            18
9017804            17
9017806            15
90819203            5
9014458             2
