线路号: 414
线路总服务人次: 2325
驾驶员总数: 31
========================================
驾驶员编号            服务人次
----------------------------------------
9003676           292
9001288           251
9017744           209
9018173           166
9017280           164
9003553           163
9003542           157
9003537           117
9003562           109
9003525           100
9003580            84
90817208           79
9004434            64
9003678            61
9014506            43
9003528            42
9003634            39
9003695            34
9003547            34
9003530            30
9017277            29
9003689            17
9003635            12
9003524            10
9004511             6
9003693             4
9003502             3
9003639             2
9017596             2
9003672             1
9013378             1
