线路号: 1115
线路总服务人次: 3244
驾驶员总数: 60
========================================
驾驶员编号            服务人次
----------------------------------------
1716              170
1381              169
2355              151
806               140
1407              103
1162              102
1165              102
1215               96
1951               94
1960               91
2398               85
1267               85
2075               85
2158               82
1382               81
1788               81
2159               79
2351               78
1557               71
2349               71
799                67
1647               64
1961               62
361                59
1185               55
1408               54
1358               52
868                48
1823               48
885                43
874                42
813                42
888                40
1170               36
1824               35
853                35
1554               33
2188               32
840                32
2347               31
2078               31
1962               26
884                24
1208               23
1665               22
1924               20
878                20
2156               19
1193               18
2397               18
1822               16
1963               16
1942               13
1268               11
877                 9
1952                9
1205                7
1173                6
767                 5
818                 5
