线路号: 9
线路总服务人次: 4474
驾驶员总数: 65
========================================
驾驶员编号            服务人次
----------------------------------------
9015202           145
9015192           132
9015259           131
9015183           126
9013364           126
9015233           122
9015252           119
9015288           119
9015208           117
9015194           112
9015211           109
9015261           107
9015171            94
9017065            88
9015265            87
9015191            86
9015213            86
9015255            85
9013351            82
9015204            82
90504219           82
9015246            82
9015220            77
9017064            77
9015257            75
9015253            75
9015190            75
9015241            74
9015148            73
9015232            72
9015149            72
9015217            72
9015313            72
9015159            70
9015216            69
9015161            69
9015236            68
9015197            67
9015157            66
9015187            65
9015181            60
9015170            59
9015172            58
9015237            51
9015320            50
9015345            50
9015245            50
9015242            49
9015219            48
9015189            47
9015150            45
9015177            45
9015317            44
9018117            41
9015185            40
9015176            39
9015160            37
9015235            36
9015224             5
9015193             4
9017066             3
9017059             2
90947215            2
9015238             1
9015221             1
