线路号: 55012
线路总服务人次: 2524
驾驶员总数: 29
========================================
驾驶员编号            服务人次
----------------------------------------
9016462           196
9017313           169
9017659           146
9016515           144
9016447           143
9003896           135
9003273           120
9003887           115
9017935           113
9016531           102
9016435           101
9016481            92
9016472            89
9016464            83
9017657            81
9016512            81
9016536            80
9016493            76
9016446            76
9018164            72
9017936            67
9016498            64
9016452            62
9016669            43
9017937            39
9003474            17
9003916             8
9018148             6
9017658             4
