线路号: 1112
线路总服务人次: 3683
驾驶员总数: 58
========================================
驾驶员编号            服务人次
----------------------------------------
101               380
2536              184
1862              128
1845              121
2533              119
1630              116
1863              110
2244              100
28                100
2290               98
2006               96
2003               95
1631               94
1998               93
163                89
91                 84
2245               78
2005               78
2367               77
1835               70
79                 68
123                65
70                 61
138                60
34                 58
2289               55
2246               53
2009               52
1614               52
2366               51
67                 49
1015               49
66                 48
98                 48
1069               47
180                47
76                 45
923                43
160                39
2000               39
26                 38
128                36
2358               28
64                 28
2001               28
2535               27
2294               27
38                 21
14                 19
2376               17
2360               17
1377               16
116                13
1884               12
2538                7
905                 5
1720                3
918                 2
