线路号: 51044
线路总服务人次: 2408
驾驶员总数: 20
========================================
驾驶员编号            服务人次
----------------------------------------
9016841           240
9016758           193
9016722           189
9016785           180
9016794           173
9016755           161
9017339           148
9016751           143
9016734           137
9016739           127
9017115           113
9016871           110
9016874           100
9016787            97
9016822            97
9012185            66
9016772            59
9016878            47
9016816            24
9011509             4
