线路号: 19
线路总服务人次: 2165
驾驶员总数: 23
========================================
驾驶员编号            服务人次
----------------------------------------
9012703           238
9012696           207
9012762           180
9012684           175
9012687           150
9012689           140
9018054           122
9012790           121
9012786            89
4000757            87
90918206           86
9013418            82
9017803            81
9012693            80
9003897            70
9012705            60
9012688            52
9012772            43
9012691            42
9012698            40
9012781            16
9012713             3
9012778             1
