线路号: 1114
线路总服务人次: 3414
驾驶员总数: 55
========================================
驾驶员编号            服务人次
----------------------------------------
1645              134
1346              131
1056              130
2084              118
941               109
1919              107
2266              106
894               105
1911               97
1375               93
1868               93
1891               85
1710               84
1575               84
1000               83
2102               79
940                78
2087               72
1910               71
2041               70
978                70
1918               69
1021               67
948                64
1712               63
989                62
1584               58
902                58
1535               58
1418               57
1588               54
1336               54
1668               53
945                52
904                52
2083               51
1362               50
924                48
964                48
1589               44
2104               43
2208               40
1917               33
988                32
956                31
970                30
1579               28
2165               23
1109               21
953                17
2106               17
2302               15
930                10
2304                7
1112                6
