线路号: 13
线路总服务人次: 2185
驾驶员总数: 33
========================================
驾驶员编号            服务人次
----------------------------------------
9012013           134
9012011           122
9012064           110
9012072           106
9012022            99
9012079            97
9012055            93
9012069            93
9011990            89
9017507            88
9017506            87
9012031            82
9018039            81
9018045            78
9017827            78
9012034            67
9011972            65
9018042            63
9012075            63
9004391            58
9012029            56
9017437            52
9012004            48
9012007            46
9018046            45
9017632            44
9012065            37
9012057            36
9018040            24
9017633            18
9011982            12
9012041             8
9012040             6
