线路号: 109
线路总服务人次: 2345
驾驶员总数: 49
========================================
驾驶员编号            服务人次
----------------------------------------
9011104           329
9002469           189
9002589           148
9002403           146
9018082           142
9002617           117
9002565           114
9018078           114
9011218            98
9011214            95
9002597            89
9002549            88
9002666            84
9002465            78
9002602            58
9000818            58
9002559            52
9011215            47
9011139            45
9002649            38
9002628            30
9018081            22
9018180            20
9002658            15
9002598            14
9014082            14
9002388            10
9016524             9
9002568             9
90808223            9
9002547             8
9002460             7
9002561             6
9002660             5
9002669             5
9002461             4
9002558             4
9002424             4
9002463             3
9016975             3
9002487             3
9016978             2
9002545             2
9002455             2
9002672             2
9002555             1
9002567             1
9002668             1
9016477             1
