线路号: 87
线路总服务人次: 2822
驾驶员总数: 24
========================================
驾驶员编号            服务人次
----------------------------------------
9004705           296
9017612           284
9004648           278
9004657           226
9004739           223
9017584           184
9004677           174
9013347           152
9002583           148
9017446           125
9004753           124
9004735           110
9016938            86
9004728            77
9004738            76
9017138            70
9004650            61
9004710            53
9017555            39
90811229           17
9004716            13
9017668             3
9004732             2
90818217            1
